x,y,z,vx,vy,vz,ax,ay,az,AttitudeAngleRespectOXY,LateralAttitudeAngleRespectOZ,time,velocity,acceleration,mach_number
-47.877841433821665,-18.687371439606004,373.9363868610986,-35.882370418425204,-17.732268867316165,151.83151651376937,-6.479790383704331,-3.831568145474154,12.491360294250692,71.36885278024768,15.979860457385978,247,157.01842972370756,14.584329942473946,0.47017929601147773
-48.4618630482803,-18.976067680284498,376.40560589410035,-35.99128422127225,-17.796641237186964,152.04733813130497,-6.126744816815058,-3.6235538378722416,11.252769215323363,71.34724409835572,15.997710878316092,248,157.25929547100523,13.315102683781976,0.4709043848726079
-49.04760197164077,-19.265779161600573,378.878146456664,-36.093718059698965,-17.857216294749804,152.24027636378312,-5.649135788871766,-3.3395640467338406,9.609848084438886,71.32653391444609,16.01492206598677,249,157.4761518595485,11.636778050188243,0.4715588738773637
-49.71284851018996,-19.5950033445624,381.6816617487168,-36.202073129767086,-17.921285530918905,152.4322502267678,-5.18499503313748,-3.061461302547389,8.03603152282666,71.30411636204232,16.03367294944805,250,157.6938600046612,10.041639379927924,0.47221806381362363
-50.380009346423925,-19.925358959338183,384.48843767079796,-36.30176251051563,-17.98018263513096,152.59462450206675,-4.804856120875043,-2.8317205212639647,6.764586474776346,71.28262063249024,16.051762098612507,251,157.8804115648591,8.767263748033642,0.4727855756952397
-51.048933301210965,-20.25675545475318,387.2979609990255,-36.39368429590325,-18.034408015089,152.73081683589695,-4.427235140068071,-2.6039838977257657,5.503844830068154,71.26176464688687,16.06938821448914,252,158.0393702228811,7.528177139157697,0.47327187339010063
-51.640076812134524,-20.54974538280288,389.77702935205707,-36.468585153399445,-18.078508237198967,152.83035292251628,-4.043469967420584,-2.3731201971041274,4.221651872963307,71.24364763510714,16.084728554061652,253,158.1578544922575,6.309016831791649,0.47363685316506876
-52.23238560097287,-20.84342074351309,392.2575453814706,-36.537309749448234,-18.118888755593392,152.90925729828086,-3.6734111305204813,-2.1513133502811614,2.9812520598063763,71.22553479634394,16.100059205543893,254,158.2545737126626,5.197110957929365,0.47393776774000257
-52.825759939822134,-21.137721556996144,394.73917569690246,-36.5999190387966,-18.155597281088664,152.96769518084614,-3.018864161050078,-1.7622125737722294,0.7660596569149476,71.20721232134595,16.11553312686006,255,158.3297052205296,3.578516644642886,0.4741751470860667
-53.92168337291248,-21.681493180990127,399.31412460159305,-36.699990583323086,-18.214123890578676,153.02371546787643,-2.6784090968620085,-1.5620751893283376,-0.40489489793592526,71.17235172482071,16.14481907986072,256,158.41370241715504,3.1269624343191054,0.47445237327937184
-54.754199389818844,-22.094732735907307,402.782367384,-36.764566787032635,-18.25180957562878,153.02780178597408,-2.2162709789425,-1.292463322036222,-2.0052585490443606,71.1448178227742,16.167803537137104,257,158.43695920860944,3.2562832093396223,0.4745436450778096
-55.5880762056123,-22.508766380542145,406.2503466445596,-36.82004188335163,-18.28416555471353,153.0004858182435,-1.7175459820313266,-1.0026798706206161,-3.7383204349046926,71.11633725204105,16.191463846076296,258,158.4271910214357,4.234426855828985,0.47453782722282667
-56.42308702039913,-22.92346161311987,409.7172785596942,-36.864626426195194,-18.310180335616156,152.93539565961908,-1.0857826961137391,-0.636338787092287,-5.935880002231682,71.08709799159622,16.215670828671854,259,158.37770875672481,6.067826836358475,0.4744152761344582
-57.581941156941184,-23.49911070306148,414.51960281356855,-36.90866751108039,-18.335931648345667,152.78342782021858,-0.8246868316931246,-0.4855536447754702,-6.8489398280294065,71.04598062378716,16.24966033597796,260,158.2442161450213,6.915478832321755,0.4740546592409731
-58.28921431381237,-23.850494456730626,417.445459347285,-36.926969038001275,-18.346679088485057,152.66096134453846,-0.7362542932370955,-0.43564738983775164,-7.170672395419708,71.02084701781708,16.270440649007064,261,158.1314984263035,7.2215234981973655,0.4737427430102396
-58.99680570197853,-24.20206535304134,420.3688565222559,-36.94191997269842,-18.35550181943341,152.5266679023155,-0.5724298549053313,-0.3401404421441854,-7.735864926807391,70.9958905960942,16.291102846094667,262,158.00637430083546,7.764468920987301,0.47339439893790913
-59.70466032003355,-24.55379188485155,423.2895994609732,-36.95445407003194,-18.362931177191008,152.383878820758,-0.41465382900244707,-0.24691860267092638,-8.26907513387573,70.97125469650095,16.311544519769424,263,157.8723390638519,8.283146151308285,0.4730198960708788
-60.552385815674484,-24.975045409587512,426.7826055035371,-36.96577056362346,-18.369659999426055,152.20033405238965,-0.32480803612929515,-0.19242684190393614,-8.561138238161812,70.9422481183273,16.335678765174187,264,157.698618533949,8.569458342435397,0.47253260390062457
-61.400338253819115,-25.396433780449456,430.2712932937581,-36.97424667194611,-18.374694218755966,152.0073252427605,-0.10483653880674379,-0.060382503034669376,-9.280689503297397,70.9137331758441,16.359470421936805,265,157.51492383913683,9.281478029018665,0.47201600405813654
-62.248444259231455,-25.817912999975935,433.7554210718598,-36.97917087330445,-18.377590427943755,151.80271459582718,0.05653084384816879,0.037327208705417836,-9.79945572200718,70.88556974972643,16.383017400712585,266,157.31897236848602,9.799689867765979,0.47146336362611807
-63.09661302208603,-26.239428401212006,437.234693000341,-36.979723441138596,-18.377853481665817,151.58390200661557,0.12182606572609139,0.07805307137527054,-9.997904553284494,70.857557109948,16.406461360274523,267,157.10800358965773,9.998951411464516,0.4708665525507538
-63.94476469642544,-26.66093166306003,440.70885200107597,-36.977678293477766,-18.376530682186505,151.35686348280726,0.15233875483746176,0.09754600458609056,-10.085380634574541,70.82948060500003,16.4299546221686,268,156.88832236735286,10.087002769082961,0.4702441178104841
-64.79285689728364,-27.082396704621868,444.17776595518393,-36.97453576098145,-18.37451866654201,151.12654529104967,0.30205008453927196,0.18645263684557886,-10.575708614534452,70.80115638253483,16.453628366024414,269,156.6651586108886,10.58166393054018,0.469611451917997
-66.03470558251968,-27.69951771536697,449.248288301998,-36.96691373528685,-18.36975885144988,150.77953703588742,0.46413354802040263,0.2810641859083369,-11.118811627828585,70.75899346226609,16.488794199207863,270,156.32808301814842,11.132043345322298,0.46865480667373943
-67.27621049870864,-28.316427309323064,454.30686294700024,-36.954060187920255,-18.36192198914935,150.4151698265665,0.522247167434447,0.31347998223096335,-11.323171715961069,70.71600785774075,16.52456136464837,271,155.97270933552088,11.339542738236563,0.46764443016213
-68.51722198076044,-28.933038217470123,459.3529878842206,-36.93750477147126,-18.351947681872023,150.0382507021973,0.5755246856250317,0.34385667232533274,-11.5064007676467,70.67239544218886,16.56079425688721,272,155.60414491984474,11.525915351960858,0.4665953761715629
-69.15897122156701,-29.25187510732378,461.95835318144236,-36.92796941041109,-18.346238859845656,149.83990450384908,0.6450748583872637,0.3839524521907648,-11.742202215840244,70.64966855999305,16.579664291169802,273,155.4099623151662,11.766174141841951,0.4660423875590801
-69.80054537730867,-29.570607358142297,464.5602402970196,-36.917364713062916,-18.339915545713097,149.63791881299375,0.7303010978959505,0.4335386093062086,-12.027362236165784,70.62689683316816,16.598572429565653,274,155.21195529425333,12.057310553323822,0.46547818570359034
-70.44192357710118,-29.88922295989615,467.1585783580681,-36.90541514652036,-18.332812904643205,149.43140704484685,0.8402798926204599,0.49790084919454425,-12.38803177143565,70.60413324362665,16.617481178213524,275,155.00918394577909,12.426476038027433,0.4649000040501275
-72.10259761524077,-30.71409085627679,473.87353943887524,-36.86983954034298,-18.311721304997356,148.88103511259422,0.9905418463876102,0.5878042531027319,-12.863632318441507,70.5453637323545,16.666352121580776,276,154.4676885988783,12.915096724897706,0.46335467290553295
-73.76153218229317,-31.537927533330446,480.563279179944,-36.82877641121956,-18.287375439522098,148.31306700295988,1.1777348983159581,0.7001963709282508,-13.450558936642498,70.4869998172418,16.714973022880837,277,153.90761097566977,13.520165315434044,0.4617548404168557
-75.41845440291841,-32.36057004952109,487.2269338858672,-36.780117039457096,-18.25847748469089,147.72116253537925,1.3215214048959285,0.7864674848599232,-13.895827972167384,70.42872693527957,16.76356413468548,278,153.32217996851944,13.980664682353607,0.4600805446367429
-77.07301316398951,-33.18180822232877,493.8633986345466,-36.72371099670552,-18.224929938056782,147.10507238652826,1.4625694349319913,0.8699377898470594,-14.346642203777213,70.37007460782385,16.812459370637683,279,152.71110418847198,14.447215774446049,0.45833091857920144
-77.87712851315145,-33.58083469961028,497.0824136837694,-36.693222351569496,-18.206792788601266,146.79573799026028,1.602405885764525,0.9519860766563584,-14.800710390857333,70.34123071619518,16.83648013973587,280,152.4036369720025,14.91760738814749,0.45744983110618326
-78.68054239357302,-33.979444136679106,500.294543891578,-36.65965139144336,-18.186836930300302,146.47649554371372,1.6387109128083348,0.9728413491031911,-14.924599728668582,70.31215095572946,16.860679430265304,281,152.0856825096928,15.045779169164232,0.45653681451324635
